Generated 1 moment matrices
Largest moment matrix has size 7
Objective: <A1>-<A2>+<B1>-<B2>-<A1B1>+<A1B2>+<A2B1>-<A2B2>+<A1B3>+<A2B3>+<A3B1>+<A3B2>
Vars: <B1> <A2>
Angle: 4.52389   L1: 6.9793   L2: 5.85317   L3: 5.8265
Angle: 4.58673   L1: 6.90608   L2: 5.79613   L3: 5.76947
Angle: 4.64956   L1: 6.82675   L2: 5.73585   L3: 5.7092
Angle: 4.71239   L1: 6.74167   L2: 5.67296   L3: 5.64631
Angle: 4.77522   L1: 6.65123   L2: 5.60807   L3: 5.58146
Angle: 4.83805   L1: 6.55583   L2: 5.54185   L3: 5.51533
Angle: 4.90088   L1: 6.45597   L2: 5.47497   L3: 5.44863
Angle: 4.96372   L1: 6.35217   L2: 5.40819   L3: 5.3821
Angle: 5.02655   L1: 6.24508   L2: 5.34233   L3: 5.31646
Angle: 5.08938   L1: 6.13548   L2: 5.27846   L3: 5.25247
Angle: 5.15221   L1: 6.02442   L2: 5.21801   L3: 5.1911
Angle: 5.21504   L1: 5.91341   L2: 5.16241   L3: 5.13586
Angle: 5.27788   L1: 5.80478   L2: 5.11276   L3: 5.08878
Angle: 5.34071   L1: 5.7021   L2: 5.07029   L3: 5.05215
Angle: 5.40354   L1: 5.60989   L2: 5.03615   L3: 5.02507
Angle: 5.46637   L1: 5.53235   L2: 5.01174   L3: 5.00788
Angle: 5.5292   L1: 5.53235   L2: 5.01153   L3: 5.00788
Angle: 5.59203   L1: 5.60989   L2: 5.03586   L3: 5.02506
Angle: 5.65487   L1: 5.7021   L2: 5.07039   L3: 5.05215
Angle: 5.7177   L1: 5.80478   L2: 5.11341   L3: 5.08878
Angle: 5.78053   L1: 5.91341   L2: 5.16354   L3: 5.13587
Angle: 5.84336   L1: 6.02442   L2: 5.21956   L3: 5.19111
Angle: 5.90619   L1: 6.13548   L2: 5.28014   L3: 5.25247
Angle: 5.96903   L1: 6.24508   L2: 5.3439   L3: 5.31646
Angle: 6.03186   L1: 6.35217   L2: 5.40958   L3: 5.3821
Angle: 6.09469   L1: 6.45597   L2: 5.47618   L3: 5.44863
Angle: 6.15752   L1: 6.55583   L2: 5.54292   L3: 5.51533
Angle: 6.22035   L1: 6.65123   L2: 5.60907   L3: 5.58146
