Generated 1 moment matrices
Largest moment matrix has size 7
Objective: <A1>-<A2>+<B1>-<B2>-<A1B1>+<A1B2>+<A2B1>-<A2B2>+<A1B3>+<A2B3>+<A3B1>+<A3B2>
Vars: <A1B3> <A2B2>
Angle: 5.21504   L1: 5.65448   L2: 5.15817   L3: 5.15052
Angle: 5.27788   L1: 5.61166   L2: 5.11572   L3: 5.10982
Angle: 5.34071   L1: 5.57688   L2: 5.08025   L3: 5.07615
Angle: 5.40354   L1: 5.54578   L2: 5.04816   L3: 5.04558
Angle: 5.46637   L1: 5.51549   L2: 5.01757   L3: 5.01547
Angle: 5.5292   L1: 5.51889   L2: 5.01269   L3: 5.00382
Angle: 5.59203   L1: 5.56386   L2: 5.03989   L3: 5.01523
Angle: 5.65487   L1: 5.61826   L2: 5.07486   L3: 5.03813
Angle: 5.7177   L1: 5.6819   L2: 5.11456   L3: 5.07325
Angle: 5.78053   L1: 5.75429   L2: 5.15772   L3: 5.11453
Angle: 5.84336   L1: 5.83434   L2: 5.20394   L3: 5.16146
Angle: 5.90619   L1: 5.92034   L2: 5.25332   L3: 5.2146
Angle: 5.96903   L1: 6.01025   L2: 5.30667   L3: 5.27403
Angle: 6.03186   L1: 6.10209   L2: 5.36672   L3: 5.35182
Angle: 6.09469   L1: 6.19416   L2: 5.44332   L3: 5.44184
Angle: 6.15752   L1: 6.28506   L2: 5.5321   L3: 5.53164
Angle: 6.22035   L1: 6.37368   L2: 5.6201   L3: 5.61956
