1 10 2 | 15092 15 32.7893 3.42263e-09 3.56526e-08 | 29824 64 32.3553 0 -7.10263e-09 | 15536 55 32.3552 0 -1.34807e-06
2 10 2 | 15068 15 31.6852 7.55911e-09 3.51006e-08 | 29500 62 30.8886 0 -1.19266e-08 | 15444 50 30.8886 0 -2.49564e-06
3 10 2 | 15212 15 30.8523 1.61246e-10 3.22692e-07 | 29740 61 30.124 0 -1.52831e-08 | 15544 40 30.124 0 -7.06483e-06
4 10 2 | 15244 14 30.3333 4.10419e-14 4.68358e-06 | 29824 62 29.6365 0 -3.22623e-09 | 15812 39 29.6365 0 -4.62297e-07
5 10 3 | 15060 62 30.8769 3.65745e-08 1.39903e-07 | 29636 58 30.362 0 -4.64303e-08 | 15736 50 30.362 0 -5.17703e-06
6 10 2 | 15000 15 32.0391 1.22408e-09 7.0024e-08 | 29816 67 31.4872 0 -1.55579e-09 | 15552 66 31.4872 0 -7.33388e-06
7 10 2 | 15056 17 32.3854 1.05342e-15 8.67682e-07 | 29316 60 31.7999 0 -5.30341e-08 | 15628 40 31.7999 0 -4.55566e-06
8 10 2 | 15184 14 28.4794 8.91078e-09 1.44986e-09 | 29792 59 27.6907 0 -1.82732e-09 | 15496 59 27.6907 0 -3.93476e-07
9 10 2 | 15060 16 35.3063 8.58816e-10 4.1254e-09 | 29808 60 34.577 0 -3.45717e-08 | 15452 39 34.577 0 -9.36809e-07
10 10 2 | 15112 16 32.8276 9.73389e-09 1.34986e-08 | 29544 63 32.1801 0 -5.99904e-09 | 15504 46 32.1801 0 -2.98418e-06
11 10 2 | 15188 16 30.8371 1.74206e-10 1.62188e-11 | 29432 61 29.9834 0 -1.06421e-09 | 15548 43 29.9834 0 -3.11338e-06
12 10 2 | 15076 17 31.6945 1.63361e-11 5.30371e-08 | 29516 62 30.9922 0 -5.34342e-08 | 15636 40 30.9922 0 -3.7979e-07
13 10 2 | 15096 15 34.897 5.80553e-11 6.46485e-08 | 29268 61 34.1275 0 -6.50476e-09 | 15648 34 34.1275 0 -4.24435e-06
14 10 2 | 15320 16 33.6647 3.26535e-10 2.53859e-11 | 29800 63 32.8701 0 -2.29485e-09 | 15444 47 32.8701 0 -1.74943e-06
15 10 2 | 15056 30 31.6119 1.01178e-06 -5.6566e-06 | 29736 61 30.6947 0 -5.52772e-09 | 15736 45 30.6947 0 -1.13866e-06
16 10 2 | 15280 15 31.139 7.48398e-15 1.87084e-06 | 29252 60 30.4651 0 -2.21514e-08 | 15732 68 30.4651 0 -3.77747e-06
17 10 2 | 15248 14 28.8862 1.37958e-14 3.50916e-07 | 29740 62 28.4126 0 -6.01236e-10 | 15492 43 28.4126 0 -3.65742e-06
18 10 2 | 15148 14 35.3692 1.34783e-14 4.32119e-07 | 29584 62 34.7923 0 -2.007e-08 | 15396 48 34.7923 0 -2.85795e-06
19 10 2 | 14888 14 33.7637 3.37252e-14 2.82771e-06 | 29380 65 33.1504 0 -1.44972e-08 | 15468 51 33.1504 0 -4.79745e-06
20 10 2 | 14924 14 30.6869 6.04384e-10 9.68096e-11 | 29588 58 30.2823 0 -3.40016e-10 | 15660 32 30.2823 0 -5.77864e-06
21 10 3 | 15056 13 33.3842 8.44045e-14 2.76802e-05 | 29464 60 32.1773 0 -9.56045e-09 | 15548 50 32.1773 0 -1.23055e-05
22 10 2 | 15200 43 30.0976 1.75714e-08 2.24419e-07 | 29324 63 29.5783 0 -3.44287e-09 | 15472 40 29.5783 0 -5.4126e-06
23 10 2 | 14968 15 33.8106 3.63415e-09 6.55171e-09 | 29548 59 33.1696 0 -3.38957e-09 | 15692 31 33.1696 0 -8.61265e-07
24 10 2 | 15108 37 30.3943 1.16914e-07 4.58373e-07 | 29368 57 29.8878 0 -1.12447e-08 | 15564 49 29.8878 0 -5.17498e-06
25 10 2 | 15160 15 32.3163 2.00953e-10 4.0977e-07 | 29556 61 31.648 0 -1.49387e-09 | 15448 47 31.648 0 -9.72493e-07
26 10 3 | 14992 15 35.1036 3.8841e-09 2.53885e-08 | 29812 66 34.3616 0 -5.48878e-10 | 15612 41 34.3616 0 -2.16176e-06
27 10 2 | 15344 14 30.8697 2.24003e-14 4.44125e-06 | 29764 58 30.1999 0 -4.30697e-08 | 15568 43 30.1999 0 -2.27507e-07
28 10 2 | 15144 16 33.7595 2.05101e-09 4.17548e-08 | 29772 57 33.0946 0 -1.06768e-08 | 15504 43 33.0946 0 -2.27629e-07
29 10 2 | 15104 16 31.0876 4.24274e-10 1.30031e-07 | 29664 55 30.4341 0 -1.89506e-08 | 15572 43 30.4341 0 -4.86026e-07
30 10 2 | 15056 16 33.8037 5.29285e-09 2.25501e-08 | 29792 61 33.1517 0 -2.66695e-09 | 15512 42 33.1517 0 -1.59394e-06
31 10 2 | 15232 16 32.4218 1.60467e-10 3.31133e-07 | 29736 55 31.9065 0 -2.52157e-08 | 15460 32 31.9065 0 -2.04027e-06
32 10 2 | 15280 16 28.1198 1.37459e-10 2.8284e-07 | 29356 64 27.6913 0 -1.73024e-09 | 15728 53 27.6913 0 -2.35455e-06
33 10 3 | 15288 16 28.4372 6.82867e-11 6.47961e-12 | 29868 60 27.9278 0 -6.11624e-10 | 15480 39 27.9278 0 -2.05177e-06
34 10 2 | 15108 14 31.3379 1.26048e-14 5.56192e-06 | 29804 56 30.6569 0 -3.32559e-08 | 15608 40 30.6569 0 -4.21096e-07
