1 10 3 | 15108 15 32.7893 3.42263e-09 3.56526e-08 | 29564 64 32.3553 0 -7.10263e-09 | 15496 61 32.3552 0 -1.34807e-06
2 10 2 | 15112 16 31.6852 7.55911e-09 3.51006e-08 | 29232 61 30.8886 0 -1.19266e-08 | 15392 52 30.8886 0 -2.49564e-06
3 10 2 | 14972 15 30.8523 1.61246e-10 3.22692e-07 | 29152 58 30.124 0 -1.52831e-08 | 15636 36 30.124 0 -7.06483e-06
4 10 2 | 15044 13 30.3333 4.10419e-14 4.68358e-06 | 29760 61 29.6365 0 -3.22623e-09 | 15624 44 29.6365 0 -4.62297e-07
5 10 2 | 14820 67 30.8769 3.65745e-08 1.39903e-07 | 29664 58 30.362 0 -4.64303e-08 | 15440 52 30.362 0 -5.17703e-06
6 10 2 | 14952 16 32.0391 1.22408e-09 7.0024e-08 | 29712 68 31.4872 0 -1.55579e-09 | 15652 64 31.4872 0 -7.33388e-06
7 10 2 | 14904 16 32.3854 1.05342e-15 8.67682e-07 | 29668 60 31.7999 0 -5.30341e-08 | 15616 39 31.7999 0 -4.55566e-06
8 10 3 | 14984 14 28.4794 8.91078e-09 1.44986e-09 | 29568 62 27.6907 0 -1.82732e-09 | 15448 54 27.6907 0 -3.93476e-07
9 10 2 | 15072 15 35.3063 8.58816e-10 4.1254e-09 | 29712 58 34.577 0 -3.45717e-08 | 15768 42 34.577 0 -9.36809e-07
10 10 2 | 14876 15 32.8276 9.73389e-09 1.34986e-08 | 29928 56 32.1801 0 -5.99904e-09 | 15736 46 32.1801 0 -2.98418e-06
11 10 3 | 14880 15 30.8371 1.74206e-10 1.62188e-11 | 29488 62 29.9834 0 -1.06421e-09 | 15460 40 29.9834 0 -3.11338e-06
12 10 2 | 14964 15 31.6945 1.63361e-11 5.30371e-08 | 29668 59 30.9922 0 -5.34342e-08 | 15672 40 30.9922 0 -3.7979e-07
13 10 2 | 14896 15 34.897 5.80553e-11 6.46485e-08 | 29696 61 34.1275 0 -6.50476e-09 | 15448 31 34.1275 0 -4.24435e-06
14 10 3 | 14908 16 33.6647 3.26535e-10 2.53859e-11 | 29628 64 32.8701 0 -2.29485e-09 | 15516 46 32.8701 0 -1.74943e-06
15 10 2 | 14924 28 31.6119 1.01178e-06 -5.6566e-06 | 29760 60 30.6947 0 -5.52772e-09 | 15532 39 30.6947 0 -1.13866e-06
16 10 2 | 14792 14 31.139 7.48398e-15 1.87084e-06 | 29780 64 30.4651 0 -2.21514e-08 | 15548 71 30.4651 0 -3.77747e-06
17 10 2 | 14912 13 28.8862 1.37958e-14 3.50916e-07 | 29712 56 28.4126 0 -6.01236e-10 | 15352 49 28.4126 0 -3.65742e-06
18 10 3 | 14856 13 35.3692 1.34783e-14 4.32119e-07 | 29324 55 34.7923 0 -2.007e-08 | 15504 43 34.7923 0 -2.85795e-06
19 10 2 | 14964 13 33.7637 3.37252e-14 2.82771e-06 | 29656 63 33.1504 0 -1.44972e-08 | 15456 50 33.1504 0 -4.79745e-06
20 10 3 | 14924 14 30.6869 6.04384e-10 9.68096e-11 | 29576 62 30.2823 0 -3.40016e-10 | 15652 27 30.2823 0 -5.77864e-06
21 10 2 | 14780 14 33.3842 8.44045e-14 2.76802e-05 | 29616 54 32.1773 0 -9.56045e-09 | 15720 51 32.1773 0 -1.23055e-05
22 10 2 | 14856 41 30.0976 1.75714e-08 2.24419e-07 | 29808 58 29.5783 0 -3.44287e-09 | 15636 44 29.5783 0 -5.4126e-06
23 10 2 | 14968 14 33.8106 3.63415e-09 6.55171e-09 | 29240 56 33.1696 0 -3.38957e-09 | 15520 32 33.1696 0 -8.61265e-07
24 10 2 | 14792 33 30.3943 1.16914e-07 4.58373e-07 | 29532 55 29.8878 0 -1.12447e-08 | 15636 50 29.8878 0 -5.17498e-06
25 10 2 | 14900 15 32.3163 2.00953e-10 4.0977e-07 | 29300 59 31.648 0 -1.49387e-09 | 15568 44 31.648 0 -9.72493e-07
26 10 2 | 14764 16 35.1036 3.8841e-09 2.53885e-08 | 29684 61 34.3616 0 -5.48878e-10 | 15400 45 34.3616 0 -2.16176e-06
27 10 2 | 14896 14 30.8697 2.24003e-14 4.44125e-06 | 29644 53 30.1999 0 -4.30697e-08 | 15744 39 30.1999 0 -2.27507e-07
28 10 2 | 14896 15 33.7595 2.05101e-09 4.17548e-08 | 29592 54 33.0946 0 -1.06768e-08 | 15572 40 33.0946 0 -2.27629e-07
29 10 2 | 14860 15 31.0876 4.24274e-10 1.30031e-07 | 29424 56 30.4341 0 -1.89506e-08 | 15452 41 30.4341 0 -4.86026e-07
30 10 2 | 14880 15 33.8037 5.29285e-09 2.25501e-08 | 29608 56 33.1517 0 -2.66695e-09 | 15608 41 33.1517 0 -1.59394e-06
31 10 2 | 14880 14 32.4218 1.60467e-10 3.31133e-07 | 29608 61 31.9065 0 -2.52157e-08 | 15448 32 31.9065 0 -2.04027e-06
32 10 2 | 14936 15 28.1198 1.37459e-10 2.8284e-07 | 29728 58 27.6913 0 -1.73024e-09 | 15396 51 27.6913 0 -2.35455e-06
33 10 2 | 14880 16 28.4372 6.82867e-11 6.47961e-12 | 29744 61 27.9278 0 -6.11624e-10 | 15604 40 27.9278 0 -2.05177e-06
34 10 2 | 14772 13 31.3379 1.26048e-14 5.56192e-06 | 29576 82 30.6569 0 -3.32559e-08 | 15616 46 30.6569 0 -4.21096e-07
35 10 3 | 14900 15 27.7308 3.20322e-09 4.67718e-10 | 29240 74 27.2919 0 -2.36768e-09 | 15504 43 27.2919 0 -1.58108e-07
36 10 3 | 14960 15 28.5713 9.5505e-16 2.50119e-07 | 29312 93 28.0522 0 -4.1131e-09 | 15612 28 28.0522 0 -5.26813e-06
37 10 3 | 14868 16 32.8168 1.10467e-10 2.4008e-07 | 29776 60 32.0089 0 -1.93397e-09 | 15584 51 32.0089 0 -1.24689e-06
38 10 2 | 14880 28 27.9014 2.42617e-07 -2.21386e-06 | 29496 60 27.3949 0 -5.52376e-08 | 15676 39 27.3949 0 -9.9671e-07
39 10 3 | 14840 15 29.1595 1.35679e-09 1.04839e-07 | 29664 60 28.805 0 -2.96051e-08 | 15740 72 28.805 0 -9.30117e-06
40 10 2 | 14908 15 32.1501 1.00515e-09 1.78635e-10 | 29728 57 31.8129 0 -5.9629e-09 | 15792 37 31.8129 0 -2.34809e-06
41 10 2 | 15008 15 28.9355 1.13133e-10 9.18062e-12 | 29596 55 28.1644 0 -1.43171e-09 | 15468 41 28.1644 0 -4.75778e-07
42 10 3 | 14900 15 31.0897 5.74606e-09 1.20386e-10 | 29692 55 30.3859 0 -3.2818e-08 | 15532 43 30.3859 0 -2.27204e-07
43 10 2 | 14848 15 31.4352 6.83291e-09 5.41536e-08 | 29720 59 30.6169 0 -5.98814e-08 | 15508 43 30.6169 0 -2.42724e-07
